Name,Section,Title,Day,Start Time,End Time,Location,Instructor
PHY 101,L2,Mechanics & Thermodynamics,TTh,3:50 PM,5:05 PM,H-502,Abu Bakr Mehmood
ENER 104,L1,Renewable Energy,TTh,10:00 AM,11:15 AM,W-234,"Abu Bakr Mehmood
Mah Noor Jamil"
ENER 104L,T1,Renewable Energy Lab,F,3:30 PM,6:30 PM,GF-W118,"Abu Bakr Mehmood
Mah Noor Jamil"
PHY 101L,T1,Mechanics & Thermodynamics Lab,W,1:40 PM,4:40 PM,GF-W100,"Abu Bakr Mehmood
Mah Noor Jamil"
MATH/PHL 222,L1,Paradox and Infinity,TTh,8:30 AM,9:45 AM,FF-N220,Aeyaz Jamil Kayani
EE/CE 424/341,L2,Data Comm. and Networking,MW,1:00 PM,2:15 PM,W-321,"Ahmad Bilal
Farhan Khan
Maham Tabassum"
EE/CE 424/341,L1,Data Comm. and Networking,TTh,2:25 PM,3:40 PM,H-502,"Ahmad Bilal
Maham Tabassum
Tariq Mumtaz"
EE/CS 172L/130L,T1,Digital Logic and Design Lab,Th,10:00 AM,1:00 PM,W-111,"Ahmad Bilal
Muhammad Farhan"
EE/CE 424L/341L,T1,Data Commun. & Networking Lab,F,8:40 AM,11:40 AM,E-003,"Ahmad Bilal
Zareen Tabassum"
EE/CE 424L/341L,T2,Data Commun. & Networking Lab,W,2:30 PM,5:30 PM,E-003,"Ahmad Bilal
Zareen Tabassum"
CE/CS 321/330,L2,Computer Architecture,TTh,2:25 PM,3:40 PM,W-321,Ahmad Usman
PHY 304,L1,Physics of Semiconductor Devic,MW,10:00 AM,11:15 AM,E-012,Ahmad Usman
EE 335,L1,"Power Generation, Transmission",MW,2:30 PM,3:45 PM,FF-N219,Ahmed Ali
EE 434,L1,Electric Vehicles,TTh,2:25 PM,3:40 PM,H-506,Ahmed Ali
EE/CS 172L/130L,T2,Digital Logic and Design Lab,F,10:00 AM,1:00 PM,W-111,"Ahmed Ali
Maham Tabassum"
CS 491,C5,Capstone (Kaavish) I,W,10:00 AM,11:15 AM,H-506,Ahsan Jawed
CS/CE 355/373,L6,Database Systems,MW,11:30 AM,12:45 PM,E-012,Ahsan Jawed
CS/CE 355L/373L,T6,Database Systems Lab,Th,10:00 AM,1:00 PM,N-425,Ahsan Jawed
SDP 201,L3,Qualitative Research Methods,WF,11:30 AM,1:10 PM,H-506,Ahsan Mashhood
SDP 314,S1,Unequal Childhoods,TTh,5:15 PM,6:30 PM,H-501,Ahsan Mashhood
MUS 222,S1,Sound and Subjectivity: Listen,MW,3:30 PM,5:10 PM,FF-C200,Alexander Kreger
REL 223,S1,"Approaches, methods and key",TTh,2:25 PM,3:40 PM,W-234,Alexander Kreger
CORE 200,L3,Scientific Methods,MW,2:30 PM,3:45 PM,W-321,Ali Imran
SDP 215,S1,Urban Design and Public Space,F,10:30 AM,1:00 PM,GF-C109,Amar Latif Qazi
SDP 204,L1,Public Policy I,M,8:30 AM,10:10 AM,E-215,"Amar Latif Qazi
Muhammad Aatir Khan
Uswa Ali Memon"
SDP 204,S1,Public Policy I,T,10:30 AM,12:10 PM,H-502,"Amar Latif Qazi
Muhammad Aatir Khan
Uswa Ali Memon"
SDP 204,S2,Public Policy I,W,1:30 PM,3:10 PM,H-501,"Amar Latif Qazi
Muhammad Aatir Khan
Uswa Ali Memon"
SDP 204,S3,Public Policy I,F,3:30 PM,5:10 PM,H-507,"Amar Latif Qazi
Muhammad Aatir Khan
Uswa Ali Memon"
CS 101,L3,Algorithmic Problem Solving,W,2:30 PM,5:00 PM,W-234,Amber Aftab
CS 101,L5,Algorithmic Problem Solving,M,8:30 AM,11:00 AM,FF-N219,Amber Aftab
CS 101L,T3,Algorithmic Problem SolvingLab,Th,10:00 AM,1:00 PM,E-010,Amber Aftab
CS 101L,T5,Algorithmic Problem SolvingLab,W,9:40 AM,12:40 PM,N-426,Amber Aftab
CORE 101,S11,Rhetoric & Communication,WF,11:30 AM,12:45 PM,H-505,Arsalan Pareyal
MUS 102,L1,Foundations of Musicianship,M,10:00 AM,11:15 AM,FF-W242,Arsalan Pareyal
MUS 102,L1,Foundations of Musicianship,W,10:00 AM,11:15 AM,FF-C200,Arsalan Pareyal
POLI 423,S1,Populism in South Asia,TTh,10:00 AM,11:15 AM,FF-W243,Asad Ur Rehman
SDP 206,S1,Social Theory II,WF,10:00 AM,11:15 AM,FF-W243,Asad Ur Rehman
SDP 206,L1,Social Theory II,M,9:30 AM,10:20 AM,FF-E220,"Asad Ur Rehman
Gennaro Errichiello
Noman Baig"
MATH 101,L1,Calculus I,TTh,2:25 PM,3:40 PM,H-505,Asgher Ali
MATH 101,L2,Calculus I,TTh,8:30 AM,9:45 AM,GF-C109,Asgher Ali
MATH 202,L1,Engineering Mathematics,TTh,5:15 PM,6:30 PM,FF-N220,Asgher Ali
MATH 202,L2,Engineering Mathematics,WF,8:30 AM,9:45 AM,FF-C200,Asgher Ali
MATH 101,R1,Calculus I,M,3:30 PM,4:20 PM,FF-E220,"Asgher Ali
Rameez Ragheb
Sajal Rana
Salman Safdar"
MATH 202,R1,Engineering Mathematics,M,8:30 AM,9:20 AM,FF-E220,"Asgher Ali
Rameez Ragheb
Salman Safdar"
CS 212,L4,Nature of Computation,T,2:30 PM,3:45 PM,N-351,Asma Sanam Larik
CS/CE 351/363,L2,Artificial Intelligence,TTh,11:30 AM,12:45 PM,E-012,Ayesha Enayet
CS/CE 458/463,L1,Natural Language Processing,MF,10:00 AM,11:15 AM,FF-C200,Ayesha Enayet
COM 236,D1,The Video Poem,M,8:30 AM,11:50 AM,LG09,Ayesha Raees
CORE 101,S10,Rhetoric & Communication,TTh,5:15 PM,6:30 PM,H-503,Ayesha Raees
CORE 201,S5,Pakistan and Modern South Asia,TTh,3:50 PM,5:05 PM,H-509,Basharat Issa
CORE 201,S6,Pakistan and Modern South Asia,TTh,2:25 PM,3:40 PM,FF-W242,Basharat Issa
CORE 201,L1,Pakistan and Modern South Asia,M,1:30 PM,2:20 PM,E-215,"Basharat Issa
Gabriel Soares
Nauman Naqvi
Noman Baig
Sumbul Usman
Waleed Mir"
CS 212,L3,Nature of Computation,TTh,10:00 AM,11:15 AM,FF-N219,Behroz Mirza
